Species,AltNames,GenoSero-types,Disease_type,Disease_Name,Tax_ID,NCBI_Genbank_ID,Status,Commensal,NNDSS_Notifiable,Reference
Plasmodium ovale,,,Parasitic,Malaria,36330,,Known Pathogen,,Yes,"1,2"
Plasmodium vivax,,,Parasitic,Malaria,5855,,Known Pathogen,,Yes,"1,2"
Plasmodium knowlesi,,,Parasitic,Malaria,5850,,Known Pathogen,,Yes,2
Pneumocystis jirovecii,,,Fungal,Pneumocystis pneumonia,42068,,Known Pathogen,,,1
Pogonomyrmex uruguayensis,,,Parasitic,,269704,,Known Pathogen,,,1
Rhinosporidium seeberi,,,Fungal,Rhinosporidiosis,90339,,Known Pathogen,,,1
Rhizomucor pusillus,,,Fungal,,4840,,Known Pathogen,,,1
Rhizopus microsporus,,,Fungal,Mucormycosis,58291,,Known Pathogen,,,1
Rhizopus oryzae,,,Fungal,Mucormycosis,64495,,Known Pathogen,,,1
Saksenaea erythrospora,,,Fungal,,931868,,Known Pathogen,,,1
Saksenaea vasiformis,,,Fungal,,90258,,Known Pathogen,,,1
Sarcoptes scabiei,Itch Mite,,Parasitic,Scabies,52283,,Known Pathogen,,,1
Scedosporium apiospermum,,,Fungal,Pseudallescheriasis,563466,,Known Pathogen,,,1
Schistosoma guineensis,Blood Fluke,,Parasitic,Schistosomiasis,393876,,Known Pathogen,,,1
Schistosoma haematobium,Blood Fluke,,Parasitic,Schistosomiasis,6185,,Known Pathogen,,,1
Schistosoma intercalatum,Blood Fluke,,Parasitic,Schistosomiasis,6187,,Known Pathogen,,,1
Schistosoma japonicum,Blood Fluke,,Parasitic,Schistosomiasis,6182,,Known Pathogen,,,1
Schistosoma malayensis,Blood Fluke,,Parasitic,Schistosomiasis,53353,,Known Pathogen,,,1
Schistosoma mansoni,Blood Fluke,,Parasitic,Schistosomiasis,6183,,Known Pathogen,,,1
Schistosoma mekongi,Blood Fluke,,Parasitic,Schistosomiasis,38744,,Known Pathogen,,,1
Sporothrix schenckii,,,Fungal,Sporotrichosis,29908,,Known Pathogen,,,1
Strongyloides stercoralis,Threadworm,,Parasitic,Strongyloidiasis,6248,,Known Pathogen,,,1
Taenia solium,Pork tapeworm,,Parasitic,,6204,,Known Pathogen,,,1
Toxoplasma gondii,,,Parasitic,Toxoplasmosis,5811,,Known Pathogen,,,1
Trachipleistophora hominis,,,Parasitic,,72359,,Known Pathogen,,,1
Trichinella pseudospiralis,,,Parasitic,,6337,,Known Pathogen,,,1
Trichinella spiralis,,,Parasitic,,6334,,Known Pathogen,,,1
Trichomonas vaginalis,,,Parasitic,Trichomoniasis,5722,,Known Pathogen,,,1
Trypanosoma brucei,,,Parasitic,Sleeping Sickness (African Trypanosomiasis),5691,,Known Pathogen,,,1
Trypanosoma cruzi,,,Parasitic,Chagas Disease (American Trypanosomiasis),5693,,Known Pathogen,,,1
Tubulinosema acridophagus,,,Fungal,Microsporidiosis,307626,,Known Pathogen,,,1
Vittaforma corneae,,,Fungal,Microsporidiosis,42399,,Known Pathogen,,,1
Wuchereria bancrofti,,,Parasitic,Lymphatic filariasis,6293,,Known Pathogen,,,"1,3"
Candida glabrata,,,Fungal,,5478,,Known Pathogen,,,1
Adeno-associated virus,,,Viral,,272636,,Known Pathogen,,,1
Aichivirus A,,,Viral,,72149,,Known Pathogen,,,1
Alphapapillomavirus 4,,,Viral,,337043,,Known Pathogen (Oncovirus),,,1
Alphapapillomavirus 7,,,Viral,,337042,,Known Pathogen (Oncovirus),,,1
Alphapapillomavirus 9,,,Viral,,337041,,Known Pathogen (Oncovirus),,,1
Argentinian mammarenavirus,,,Viral,,2169991,,Known Pathogen,,,1
Australian bat lyssavirus,,,Viral,,90961,NC_003243.1,Known Pathogen,,Yes,"1,2"
Banna virus,,,Viral,,77763,,Known Pathogen,,,1
Barmah Forest virus,,,Viral,,11020,NC_001786.1,Known Pathogen,,Yes,"1,2"
Bundibugyo ebolavirus,,,Viral,Viral haemorrhagic fever,565995,NC_014373.1,Known Pathogen,,Yes,"1,2"
Bunyamwera orthobunyavirus,,,Viral,,1933179,NC_001925.1 (L); NC_001926.1 (M); NC_001927.1 (S),Known Pathogen,,,1
Cali mammarenavirus,,,Viral,,2169993,,Known Pathogen,,,1
California encephalitis orthobunyavirus,,,Viral,,1933264,,Known Pathogen,,,1
Cardiovirus A,,,Viral,,1821749,,Known Pathogen,,,1
Chandipura vesiculovirus,Chandipura virus,,Viral,,1972576,NC_020805.1,Known Pathogen,,,1
Chapare mammarenavirus,,,Viral,,499556,,Known Pathogen,,,1
Chikungunya virus,,,Viral,,37124,NC_004162.2,Known Pathogen,,Yes,"1,2"
Cosavirus A,,,Viral,,1330491,,Known Pathogen,,,1
Cowpox virus,,,Viral,,10243,NC_003663.2,Known Pathogen,,,1
Coxsackievirus,,,Viral,"Hand, foot, and mouth disease",12066,,Known Pathogen,,,"1,3"
Crimean-Congo hemorrhagic fever orthonairovirus,,,Viral,Viral haemorrhagic fever,1980519,,Known Pathogen,,Yes,"1,2"
Dabie bandavirus,Severe fever with thrombocytopenia virus or Huaiyangshan banyangvirus,,Viral,Severe fever with thrombocytopenia syndrome,,,Known Pathogen,,,
Dengue virus,,,Viral,Dengue,12637,,Known Pathogen,,Yes,"1,2"
Dhori thogotovirus,,,Viral,,11318,,Known Pathogen,,,1
Dugbe orthonairovirus,,,Viral,,1980521,,Known Pathogen,,,1
Duvenhage lyssavirus,,,Viral,,38767,,Known Pathogen,,,1
Eastern equine encephalitis virus,,,Viral,,11021,NC_003899.1,Known Pathogen,,,1
Echovirus,,,Viral,,33758,,Known Pathogen,,,1
Enterovirus A,,,Viral,"Hand, foot, and mouth disease",138948,,Known Pathogen,,,1
Enterovirus C,Poliovirus,,Viral,Poliomyelitis,138950,,Known Pathogen,,Yes,"1,2"
Enterovirus D,,,Viral,,138951,,Known Pathogen,,,1
European bat lyssavirus,,,Viral,,38768,NC_009527.1,Known Pathogen,,,1
Getah virus,,,Viral,,59300,GCF_000855805.1,Known Pathogen,,,1
Guanarito mammarenavirus,,,Viral,,45219,NC_005082.1 (L); NC_005077.1 (S),Known Pathogen,,,1
Hantaan orthohantavirus,,,Viral,,1980471,NC_005219.1,Known Pathogen,,,1
Heartland banyangvirus,,,Viral,,2560519,NC_024495.1 (L); NC_024494.1 (M); NC_024496.1 (S),Known Pathogen,,,1
Hendra henipavirus,Hendra Virus,,Viral,,63330,NC_001906.3,Known Pathogen,,,1
Hepacivirus C,Hepatitis C Virus,,Viral,Hepatitis C,11103,NC_004102.1 (G1); NC_009823.1 (G2); NC_009824.1 (G3); NC_009825.1 (G4); NC_009826.1 (G5); NC_009827.1 (G6),Known Pathogen (Oncovirus),,Yes,"1,2"
Hepatitis B virus,,,Viral,,10407,NC_003977.2,Known Pathogen (Oncovirus),,Yes,"1,2"
Hepatitis delta virus,,,Viral,Hepatitis D,12475,NC_001653.2,Known Pathogen,,Yes,"1,2"
Hepatovirus A,,,Viral,Hepatitis A,12092,NC_001489.1,Known Pathogen,,Yes,"1,2"
Human adenovirus sp.,,,Viral,,1907210,,Known Pathogen,,,1
Human alphaherpesvirus 1,Herpes Simplex Virus 1,,Viral,Herpes,10298,NC_001806.2,Known Pathogen,,,1
Human alphaherpesvirus 2,Herpes Simplex Virus 2,,Viral,Herpes,10310,NC_001798.2,Known Pathogen,,,1
Human alphaherpesvirus 3,Varicella-Zoster Virus,,Viral,Chickenpox/Shingles,10335,NC_001348.1,Known Pathogen,,,1
Human astrovirus,,,Viral,,1868658,NC_001943.1,Known Pathogen,,,1
Human betaherpesvirus 5,Human Cytomegalovirus,,Viral,,10359,NC_006273.2,Known Pathogen (Oncovirus),,,1
Human betaherpesvirus 6A,Human Herpesvirus 6A,,Viral,,10368,NC_001664.2,Known Pathogen,,,1
Human betaherpesvirus 6B,Human Herpesvirus 6B,,Viral,,10368,NC_000898.1,Known Pathogen,,,
Human betaherpesvirus 7,,,Viral,,10372,NC_001716.2,Known Pathogen,,,1
Human coronavirus 229E,,,Viral,,,NC_002645.1,Known Pathogen,,,
Human coronavirus HKU1,,,Viral,,,NC_006577.2,Known Pathogen,,,
Human coronavirus NL63,,,Viral,,,NC_005831.2,Known Pathogen,,,
Human coronavirus OC43,,,Viral,,,KU131570.1,Known Pathogen,,,
Human gammaherpesvirus 4,Epstein�Barr Virus,,Viral,,10376,NC_009334.1,Known Pathogen (Oncovirus),,,1
Human gammaherpesvirus 8,Kaposi's sarcoma-associated herpesvirus,,Viral,,37296,NC_009333.1,Known Pathogen (Oncovirus),,,1
Human immunodeficiency virus,,,Viral,,12721,NC_001802.1,Known Pathogen,,Yes,"1,2"
Human metapneumovirus,,,Viral,,,NC_004148.2,Known Pathogen,,,
Human orthopneumovirus,Respiratory Syncytial Virus,,Viral,,11250,NC_001803.1,Known Pathogen,,Yes,"1,2"
Human parainfluenzavirus,,,Viral,,,,,,,
Human polyomavirus 1,,,Viral,,1891762,,Known Pathogen,,,1
Human polyomavirus 2,,,Viral,,1891763,,Known Pathogen,,,1
Human polyomavirus 3,,,Viral,,1891764,,Known Pathogen,,,1
Human polyomavirus 4,,,Viral,,1891765,,Known Pathogen,,,1
Human polyomavirus 5,,,Viral,,493803,NC_004108.1 (L); NC_004109.1 (M); NC_004110.1 (S),Known Pathogen (Oncovirus),,,1
Human polyomavirus 8,Trichodysplasia spinulosa polyomavirus,,Viral,Trichodysplasia spinulosa,1891727,,Case Report,,,12
Human respirovirus 1,,,Viral,,12730,,Known Pathogen,,,1
Human respirovirus 3,,,Viral,,11216,,Known Pathogen,,,1
Human rhinovirus sp.,,,Viral,,169066,,Known Pathogen,,,1
Human rubulavirus 2,,,Viral,,1979160,,Known Pathogen,,,1
Human rubulavirus 4,,,Viral,,1979161,,Known Pathogen,,,1
Human torovirus,,,Viral,,67605,,Known Pathogen,,,1
Influenza A virus,,,Viral,,11320,,Known Pathogen,,,1
Influenza B virus,,,Viral,,11520,,Known Pathogen,,Yes,"1,2"
Influenza C virus,,,Viral,,11552,,Known Pathogen,,Yes,"1,2"
Jamestown Canyon orthobunyavirus,,,Viral,,2560532,,Known Pathogen,,Yes,"1,2"
Japanese encephalitis virus,,,Viral,Japanese encephalitis,11072,NC_001437.1,Known Pathogen,,Yes,"1,2"
Kyasanur Forest disease virus,Alkhurma hemorrhagic fever virus,,Viral,Kyasanur Forest disease,33743,NC_039218.1,Known Pathogen,,Yes,"1,2"
La Crosse orthobunyavirus,,,Viral,,2560547,GCF_000850965.1,Known Pathogen,,,1
Lagos bat lyssavirus,,,Viral,,38766,NC_020807.1,Known Pathogen,,,1
Langat virus,,,Viral,,11085,NC_003690.1,Known Pathogen,,,1
Lassa mammarenavirus,,,Viral,Viral haemorrhagic fever,11620,NC_004297.1 (L Seg); NC_004296.1 (S Seg),Known Pathogen,,Yes,"1,2"
Louping ill virus,,,Viral,,11086,NC_001809.1,Known Pathogen,,,1
Lymphocytic choriomeningitis mammarenavirus,,,Viral,,11623,NC_004291.1 (L); NC_004294.1 (S),Known Pathogen,,,1
Macacine alphaherpesvirus 1,,,Viral,,10325,,Known Pathogen,,,1
Machupo mammarenavirus,,,Viral,,11628,,Known Pathogen,,,1
Mammalian rubulavirus 5,,,Viral,,1979162,,Known Pathogen,,,1
Marburg marburgvirus,,,Viral,Viral haemorrhagic fever,11269,NC_001608.3,Known Pathogen,,Yes,"1,2"
Mayaro virus,,,Viral,,59301,NC_003417.1,Known Pathogen,,,1
Measles morbillivirus,,,Viral,Measles,11234,NC_001498.1,Known Pathogen,,Yes,"1,2"
Middle East respiratory syndrome-related coronavirus,,,Viral,,1335626,NC_019843.3,Known Pathogen,,Yes,"1,2"
Mokola lyssavirus,,,Viral,,12538,,Known Pathogen,,,1
Molluscum contagiosum virus,,,Viral,,10279,NC_001731.1,Known Pathogen,,,1
Monkeypox virus,,,Viral,,10244,NC_003310.1,Known Pathogen,,Yes,"1,2"
Mumps rubulavirus,,,Viral,Mumps,1979165,NC_002200.1,Known Pathogen,,Yes,"1,2"
Mupapillomavirus 1,,,Viral,,334203,,Known Pathogen (Oncovirus),,,1
Murray Valley encephalitis virus,,,Viral,Murray Valley encephalitis,11079,NC_000943.1,Known Pathogen,,Yes,"1,2"
New York hantavirus,,,Viral,Hantavirus pulmonary syndrome,44755,,Known Pathogen,,,1
Nipah henipavirus,Nipah Virus,,Viral,,121791,NC_002728.1,Known Pathogen,,,1
Norwalk virus,Norovirus,GI,Viral,Winter vomiting disease,11983,NC_001959.2,Known Pathogen,,,1
Norwalk virus,Norovirus,GII,Viral,Winter vomiting disease,11983,NC_029646.1,Known Pathogen,,,1
Norwalk virus,Norovirus,GIV,Viral,Winter vomiting disease,11983,NC_029647.1,Known Pathogen,,,1
Omsk hemorrhagic fever virus,,,Viral,Omsk hemorrhagic fever,12542,NC_005062.1,Known Pathogen,,Yes,"1,2"
Onyong-nyong virus,,,Viral,,2169701,NC_001512.1,Known Pathogen,,,1
Orf virus,,,Viral,,10258,,Known Pathogen,,,1
Oropouche orthobunyavirus,,,Viral,,1933309,,Known Pathogen,,,1
Orthohepevirus A,Hepatitis E Virus,,Viral,,1678143,NC_001434.1,Known Pathogen,,Yes,"1,2"
Pegivirus C,,,Viral,,1985356,,Known Pathogen,,,1
Powassan virus,,,Viral,,11083,NC_003687.1,Known Pathogen,,,1
Primate erythroparvovirus 1,Parvovirus B19 or Human Bocavirus 2,,Viral,,194440,NC_028101.1,Known Pathogen,,,1
Primate T-lymphotropic virus 1,,,Viral,,194441,NC_001436.1,Known Pathogen (Oncovirus),,,1
Primate T-lymphotropic virus 2,,,Viral,,1511900,NC_001488.1,Known Pathogen (Oncovirus),,,1
Punta Toro phlebovirus,Punta Toro virus,,Viral,,1933186,NC_027203.1 (L); NC_027201.1 (M); NC_027202.1 (N),Known Pathogen,,,1
Puumala orthohantavirus,,,Viral,,1980486,,Known Pathogen,,,1
Rabies lyssavirus,,,Viral,Rabies,11292,NC_001542.1,Known Pathogen,,Yes,"1,2"
Rift Valley fever phlebovirus,,,Viral,Rift Valley fever,1933187,,Known Pathogen,,  ,1
Rosavirus A,,,Viral,,1511805,,Known Pathogen,,Yes,"1,2"
Ross River virus,,,Viral,Ross River Fever,11029,NC_001544.1,Known Pathogen,,Yes,"1,2"
Rotavirus A,,,Viral,,28875,,Known Pathogen,,Yes,"1,2"
Rotavirus B,,,Viral,,28876,,Known Pathogen,,Yes,"1,2"
Rotavirus C,,,Viral,,36427,,Known Pathogen,,Yes,"1,2"
Rubella virus,,,Viral,Rubella,11041,,Known Pathogen,,Yes,"1,2"
Saint Louis encephalitis virus,,,Viral,St. Louis encephalitis,11080,,Known Pathogen,,,1
Salivirus A,,,Viral,,1330524,,Known Pathogen,,,1
Sapporo virus,,,Viral,,95342,,Known Pathogen,,,1
Semliki Forest Virus,,,Viral,,11033,,Known Pathogen,,,1
Seoul orthohantavirus,,,Viral,,1980490,,Known Pathogen,,,1
Severe acute respiratory syndrome-related coronavirus,,,Viral,SARS,694009,NC_004718.3,Known Pathogen,,Yes,"1,2"
Severe acute respiratory syndrome-related coronavirus 2,,,Viral,COVID-19,2697049,NC_045512.2,Known Pathogen,,Yes,"1,2"
Sicilian phlebovirus,Sandfly fever Turkey virus,,Viral,Sandfly fever,28292,,Known Pathogen,,,1
Simian foamy virus,,,Viral,,11642,NC_001364.1,Known Pathogen,,,1
Sindbis virus,,,Viral,Sindbis fever,11034,NC_001547.1,Known Pathogen,,,1
Snowshoe hare orthobunyavirus,,,Viral,,2560767,,Known Pathogen,,,1
Sudan ebolavirus,,,Viral,Viral haemorrhagic fever,186540,,Known Pathogen,,Yes,"1,2"
Tai Forest ebolavirus,,,Viral,Viral haemorrhagic fever,186541,NC_014372.1,Known Pathogen,,Yes,"1,2"
Tanapox virus,,,Viral,,99000,,Known Pathogen,,,1
Tick-borne encephalitis virus,,,Viral,,11084,NC_001672.1,Known Pathogen,,,1
Torque teno virus,,,Viral,,68887,,Known Pathogen,,,1
Toscana phlebovirus,,,Viral,,2734478,,Known Pathogen,,,1
Trivittatus orthobunyavirus,,,Viral,,2560823,,Known Pathogen,,,1
unidentified human coronavirus,,,Viral,,2749936,,Known Pathogen,,,1
Uukuniemi uukuvirus,,,Viral,,10245,NC_005221.1,Known Pathogen,,,1
Vaccinia virus,,,Viral,,10255,NC_006998.1,Known Pathogen,,,1
Variola virus,,,Viral,Smallpox,11036,NC_001611.1,Known Pathogen,,Yes,"1,2"
Venezuelan equine encephalitis virus,,,Viral,,11276,NC_001449.1,Known Pathogen,,,1
Vesicular stomatitis virus,,,Viral,,11082,NC_001560.1,Known Pathogen,,,1
West Nile virus,,,Viral,West Nile Fever,11039,NC_001563.2,Known Pathogen,,Yes,"1,2"
Western equine encephalitis virus,Western equine encephalomyelitis viru,,Viral,,38804,NC_003908.1,Known Pathogen,,,1
Yaba monkey tumor virus,,,Viral,,11089,NC_005179.1,Known Pathogen,,,1
Yellow fever virus,,,Viral,Yellow Fever,186538,NC_002031.1,Known Pathogen,,Yes,"1,2"
Zaire ebolavirus,,,Viral,Viral haemorrhagic fever,64320,NC_002549.1,Known Pathogen,,Yes,"1,2"
Zika virus,,,Viral,,694448,NC_012532.1,Known Pathogen,,Yes,"1,2"
,,,,,,,,,,
,,,,,,,,,,
1. CZ ID,,,,,,,,,,
2. NNDSS,,,,,,,,,,
3. CDC,,,,,,,,,,
4. Olsenella uli https://ann-clinmicrob.biomedcentral.com/articles/10.1186/s12941-022-00499-2,,,,,,,,,,
5. Lelliottia nimipressuralis https://www.sciencedirect.com/science/article/pii/S0732889321002303,,,,,,,,,,
6. Serratia marcesans https://www.jcdr.net/article_fulltext.asp?issn=0973-709x&year=2013&volume=7&issue=2&page=243&issn=0973-709x&id=2737,,,,,,,,,,
7. Citrobacter sp. https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3836000/#ref3,,,,,,,,,,
8. Stenotrophomonas maltophilia https://www.frontiersin.org/articles/10.3389/fmicb.2017.02276/full,,,,,,,,,,
9. Enterococcus faecium https://aricjournal.biomedcentral.com/articles/10.1186/s13756-020-00770-1,,,,,,,,,,
10. Enterococcus avium https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9394533/,,,,,,,,,,
11. Rickettsia honei https://www.health.gov.au/sites/default/files/2022-11/australian-endemic-tick-borne-diseases-flinders-island-spotted-fever_0.pdf,,,,,,,,,,
12. Trichodysplasia spinulosa polyomavirus https://wwwnc.cdc.gov/eid/article/28/9/22-0856_article,,,,,,,,,,
13. Klebsiella oxytoca https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5192185/,,,,,,,,,,
14. Bordetella parapertussis,,,,,,,,,,
15. Bordetella holmesii,,,,,,,,,,
16. Bordetella hinzii,,,,,,,,,,
